"","task_a_likely","task_a_probable","task_a_highly_unlikely","task_a_almost_certainly","task_a_highly_likely","task_a_chances_are_slight","task_a_better_than_even","task_a_we_believe","task_a_probably_not","task_a_we_doubt","task_a_very_good_chance","task_a_unlikely","task_a_about_even","task_a_almost_no_chance","task_a_probably","task_a_little_chance","task_a_improbable","item_string","id"
"14",4,5,16,1,2,10,7,3,12,11,NA,13,8,15,6,9,14,"highly likely;improbable;little chance;likely;almost no chance;about even;better than even;chances are slight;almost certainly;unlikely;highly unlikely;probable;probably;we doubt;we believe;probably not",187
"15",3,6,15,1,2,11,4,5,14,10,NA,13,8,16,7,9,12,"almost no chance;likely;we doubt;probable;improbable;probably not;about even;little chance;highly unlikely;highly likely;we believe;better than even;unlikely;probably;chances are slight;almost certainly",80
"16",4,5,15,1,3,10,8,6,13,7,2,14,9,16,NA,11,12,"probably not;better than even;we doubt;almost certainly;little chance;likely;we believe;almost no chance;chances are slight;probable;highly likely;improbable;very good chance;unlikely;highly unlikely;about even",175
"17",4,5,15,1,3,11,7,NA,10,9,2,13,8,16,6,14,12,"unlikely;chances are slight;very good chance;probably;about even;almost no chance;highly unlikely;almost certainly;better than even;improbable;probably not;likely;highly likely;we doubt;probable;little chance",64
"18",4,6,16,1,2,8,3,5,11,10,NA,13,9,15,7,14,12,"we believe;probable;we doubt;almost certainly;about even;better than even;probably not;probably;improbable;highly unlikely;chances are slight;unlikely;almost no chance;highly likely;little chance;likely",9
"19",3,5,14,1,2,6,8,7,11,12,4,13,9,15,NA,10,16,"little chance;chances are slight;highly unlikely;improbable;we believe;almost certainly;about even;almost no chance;better than even;unlikely;we doubt;likely;probable;probably not;highly likely;very good chance",27
"20",5,4,NA,1,2,12,9,6,13,8,3,16,10,14,7,11,15,"about even;almost no chance;likely;probably not;better than even;chances are slight;little chance;improbable;we believe;we doubt;unlikely;almost certainly;highly likely;very good chance;probably;probable",68
"21",4,6,15,1,3,8,7,9,10,12,2,14,NA,16,5,13,11,"unlikely;probable;almost no chance;we believe;highly likely;probably not;improbable;almost certainly;better than even;highly unlikely;likely;chances are slight;we doubt;little chance;probably;very good chance",114
"22",6,7,15,1,3,11,9,4,12,14,2,13,8,16,5,10,NA,"chances are slight;very good chance;likely;probably;highly likely;we believe;probable;almost no chance;unlikely;probably not;about even;better than even;little chance;highly unlikely;almost certainly;we doubt",126
"23",NA,7,15,2,1,10,4,5,12,9,3,14,6,16,8,11,13,"little chance;about even;improbable;almost certainly;we believe;probably not;we doubt;better than even;probably;chances are slight;very good chance;highly unlikely;highly likely;unlikely;almost no chance;probable",135
"24",4,7,16,2,1,11,6,8,14,12,3,NA,9,15,5,13,10,"we believe;better than even;almost certainly;highly likely;improbable;probable;chances are slight;likely;about even;we doubt;very good chance;little chance;probably;highly unlikely;almost no chance;probably not",185
"25",4,5,15,1,2,14,7,8,NA,10,3,12,9,16,6,13,11,"almost no chance;probable;little chance;unlikely;highly unlikely;better than even;improbable;we believe;about even;we doubt;highly likely;chances are slight;almost certainly;likely;probably;very good chance",190
"26",4,NA,14,1,2,10,5,7,15,12,3,11,8,16,6,9,13,"chances are slight;highly likely;little chance;very good chance;we believe;unlikely;probably;probably not;almost certainly;improbable;almost no chance;highly unlikely;likely;about even;we doubt;better than even",191
"27",3,5,16,2,4,13,7,6,11,9,1,14,8,15,NA,10,12,"highly likely;almost no chance;we doubt;almost certainly;about even;better than even;little chance;probably not;we believe;improbable;probable;chances are slight;unlikely;highly unlikely;very good chance;likely",241
"28",4,6,15,3,2,10,8,7,13,12,1,11,NA,16,5,9,14,"almost certainly;very good chance;unlikely;little chance;chances are slight;highly likely;we doubt;almost no chance;probably;improbable;better than even;highly unlikely;probably not;probable;we believe;likely",59
"29",3,7,14,1,2,9,4,5,16,10,NA,13,8,15,6,11,12,"almost no chance;highly likely;unlikely;improbable;we doubt;likely;better than even;probably;about even;almost certainly;highly unlikely;little chance;probably not;we believe;chances are slight;probable",141
"30",5,NA,15,1,3,6,2,9,12,11,4,13,7,16,8,10,14,"we doubt;better than even;about even;unlikely;probably not;likely;little chance;probably;almost certainly;highly unlikely;highly likely;improbable;very good chance;we believe;almost no chance;chances are slight",142
"31",4,NA,16,3,1,10,7,6,12,8,2,13,11,15,5,9,14,"improbable;about even;we believe;unlikely;little chance;probably;probably not;very good chance;highly likely;almost no chance;chances are slight;better than even;highly unlikely;almost certainly;likely;we doubt",165
"32",NA,4,14,2,3,10,5,7,12,11,1,13,6,16,9,8,15,"we doubt;unlikely;improbable;probably;probable;highly unlikely;probably not;almost certainly;about even;we believe;little chance;very good chance;highly likely;chances are slight;better than even;almost no chance",213
"33",4,8,14,1,3,11,5,9,12,NA,2,16,7,15,6,10,13,"probable;highly unlikely;improbable;highly likely;almost no chance;little chance;better than even;almost certainly;very good chance;likely;we believe;unlikely;probably not;probably;chances are slight;about even",232
"34",5,7,14,1,2,10,NA,3,9,12,4,13,6,15,8,11,16,"likely;highly unlikely;almost certainly;we believe;highly likely;little chance;we doubt;about even;unlikely;improbable;probably not;chances are slight;probable;very good chance;probably;almost no chance",254
"35",6,5,14,1,3,NA,8,4,13,10,2,12,9,16,7,15,11,"we believe;probable;probably not;almost certainly;unlikely;highly unlikely;improbable;highly likely;almost no chance;about even;likely;very good chance;better than even;probably;little chance;we doubt",32
"36",3,5,14,1,2,12,7,6,13,9,NA,11,8,15,4,10,16,"likely;we believe;about even;chances are slight;we doubt;better than even;almost certainly;unlikely;probably not;improbable;little chance;highly likely;probable;highly unlikely;almost no chance;probably",50
"37",NA,6,13,2,3,10,5,1,11,12,4,16,9,14,7,8,15,"very good chance;probably not;we believe;highly likely;probably;little chance;highly unlikely;we doubt;almost no chance;improbable;almost certainly;about even;unlikely;chances are slight;probable;better than even",60
"38",4,NA,13,3,2,8,6,15,11,16,1,12,7,14,5,9,10,"little chance;likely;improbable;chances are slight;probably;almost no chance;unlikely;very good chance;almost certainly;we believe;better than even;probably not;we doubt;highly likely;highly unlikely;about even",63
"39",4,6,16,1,2,13,7,8,11,12,3,15,9,NA,5,14,10,"improbable;chances are slight;probably;likely;better than even;we believe;about even;little chance;probable;highly likely;very good chance;probably not;unlikely;highly unlikely;we doubt;almost certainly",82
"40",5,3,15,1,NA,12,8,7,10,9,2,14,6,16,4,13,11,"chances are slight;almost certainly;likely;improbable;probably not;about even;almost no chance;probably;very good chance;highly unlikely;we doubt;little chance;we believe;probable;better than even;unlikely",109
"41",4,NA,15,1,3,12,5,7,10,9,2,14,6,16,8,13,11,"we believe;likely;highly unlikely;about even;we doubt;chances are slight;probably;better than even;highly likely;improbable;probably not;almost no chance;little chance;very good chance;unlikely;almost certainly",112
"42",5,6,16,2,3,11,NA,4,15,13,1,12,8,14,7,10,9,"very good chance;probable;about even;probably not;unlikely;we doubt;chances are slight;almost no chance;almost certainly;improbable;little chance;highly likely;we believe;highly unlikely;likely;probably",123
"43",4,8,16,3,1,7,6,5,10,13,2,14,NA,15,9,12,11,"little chance;we doubt;we believe;probably not;highly likely;better than even;almost no chance;chances are slight;almost certainly;highly unlikely;improbable;unlikely;probable;likely;very good chance;probably",157
"44",NA,6,14,1,2,11,7,4,10,9,3,12,8,16,5,15,13,"highly unlikely;probable;better than even;highly likely;chances are slight;about even;probably not;unlikely;improbable;we doubt;we believe;very good chance;little chance;almost no chance;probably;almost certainly",159
"45",6,5,16,1,2,11,9,4,13,14,3,8,10,15,7,NA,12,"very good chance;likely;probably;unlikely;better than even;chances are slight;almost certainly;almost no chance;probable;improbable;probably not;we doubt;about even;we believe;highly unlikely;highly likely",166
"46",5,6,15,2,1,12,3,8,13,10,4,14,9,NA,7,11,16,"highly likely;better than even;about even;highly unlikely;probably not;chances are slight;we doubt;improbable;we believe;probable;likely;little chance;probably;almost certainly;very good chance;unlikely",167
"47",3,5,13,NA,2,6,8,7,15,11,1,12,9,16,4,10,14,"probable;chances are slight;probably;we doubt;likely;highly unlikely;almost no chance;highly likely;little chance;about even;probably not;unlikely;very good chance;better than even;we believe;improbable",171
"48",5,7,NA,1,2,11,6,4,16,14,3,12,8,15,9,10,13,"almost certainly;probable;almost no chance;we doubt;probably;we believe;unlikely;better than even;about even;improbable;very good chance;likely;highly likely;probably not;little chance;chances are slight",199
"49",3,5,14,NA,2,9,7,8,15,11,1,13,10,16,4,6,12,"almost no chance;highly unlikely;probable;about even;likely;probably not;probably;improbable;we doubt;highly likely;chances are slight;very good chance;better than even;unlikely;little chance;we believe",229
"50",8,6,NA,3,2,10,4,5,13,11,1,16,9,15,7,12,14,"little chance;we believe;very good chance;probably not;likely;about even;almost no chance;improbable;better than even;unlikely;we doubt;probably;highly likely;probable;chances are slight;almost certainly",263
"51",3,5,15,1,2,12,4,7,8,9,NA,14,10,16,6,11,13,"likely;better than even;chances are slight;almost certainly;probably;highly likely;we believe;improbable;we doubt;probably not;almost no chance;about even;little chance;probable;highly unlikely;unlikely",15
"52",4,NA,14,1,3,13,7,6,15,9,2,11,8,16,5,10,12,"very good chance;probably not;almost no chance;we doubt;about even;little chance;we believe;unlikely;highly likely;chances are slight;almost certainly;likely;better than even;improbable;probably;highly unlikely",37
"53",3,6,NA,1,2,12,8,7,15,14,4,10,9,13,5,11,16,"probably;probable;improbable;we believe;likely;highly likely;unlikely;very good chance;better than even;probably not;almost certainly;almost no chance;we doubt;little chance;about even;chances are slight",41
"54",3,8,16,5,2,10,6,4,13,12,1,15,7,14,9,NA,11,"chances are slight;likely;probably;highly unlikely;we doubt;improbable;probable;almost no chance;we believe;about even;almost certainly;unlikely;very good chance;highly likely;probably not;better than even",70
"55",3,6,16,5,2,11,9,8,12,NA,1,13,10,14,4,7,15,"likely;probably not;unlikely;little chance;highly likely;about even;chances are slight;better than even;almost certainly;almost no chance;very good chance;probably;we believe;probable;highly unlikely;improbable",75
"56",3,5,9,NA,1,10,6,7,15,12,2,13,8,16,4,11,14,"very good chance;chances are slight;little chance;about even;better than even;likely;we doubt;probably;improbable;highly unlikely;almost no chance;we believe;probably not;probable;highly likely;unlikely",105
"57",6,4,15,1,2,12,7,8,9,10,3,11,NA,16,5,13,14,"probably not;highly unlikely;almost no chance;chances are slight;very good chance;probable;likely;unlikely;we believe;almost certainly;probably;little chance;highly likely;we doubt;improbable;better than even",154
"58",7,5,16,1,3,8,6,9,14,11,2,15,NA,13,4,12,10,"little chance;better than even;highly unlikely;likely;chances are slight;we believe;probably not;improbable;probably;almost no chance;highly likely;we doubt;probable;almost certainly;very good chance;unlikely",226
"59",6,7,14,1,5,11,4,3,13,10,2,12,9,16,8,15,NA,"likely;probable;highly unlikely;almost certainly;highly likely;chances are slight;better than even;we believe;probably not;we doubt;very good chance;unlikely;about even;almost no chance;probably;little chance",1
"60",6,7,14,1,NA,10,3,4,15,8,2,13,9,16,5,11,12,"chances are slight;probably not;highly unlikely;probable;likely;we doubt;improbable;about even;very good chance;better than even;little chance;almost no chance;we believe;almost certainly;unlikely;probably",36
"61",5,6,15,3,2,13,4,8,10,12,1,14,9,16,7,NA,11,"unlikely;very good chance;probably;almost certainly;almost no chance;we believe;highly unlikely;likely;chances are slight;probable;probably not;improbable;better than even;highly likely;about even;we doubt",71
"62",4,6,13,2,3,7,8,5,11,10,1,15,9,14,NA,12,16,"about even;highly unlikely;chances are slight;we believe;we doubt;probable;probably not;almost certainly;likely;very good chance;little chance;improbable;highly likely;better than even;almost no chance;unlikely",150
"63",5,4,16,1,3,9,10,6,12,11,2,13,15,NA,7,8,14,"very good chance;little chance;probable;almost certainly;probably not;chances are slight;likely;unlikely;better than even;probably;highly likely;we doubt;improbable;about even;highly unlikely;we believe",158
"64",6,9,15,5,2,10,3,1,11,NA,4,13,8,16,7,12,14,"probably;improbable;little chance;very good chance;almost no chance;probable;about even;unlikely;chances are slight;highly unlikely;probably not;we believe;highly likely;almost certainly;likely;better than even",215
"65",4,7,15,2,1,NA,5,8,14,12,3,11,9,16,6,13,10,"improbable;unlikely;we doubt;highly likely;likely;better than even;probable;we believe;little chance;about even;almost certainly;probably not;highly unlikely;very good chance;probably;almost no chance",230
"66",7,6,NA,1,2,12,4,8,11,10,3,14,9,15,5,13,16,"better than even;we believe;probably not;probably;very good chance;almost no chance;probable;improbable;about even;almost certainly;chances are slight;we doubt;little chance;highly likely;likely;unlikely",238
"67",NA,3,15,1,2,14,6,7,9,11,4,13,8,16,5,12,10,"almost certainly;highly likely;we believe;probable;improbable;probably;probably not;highly unlikely;unlikely;we doubt;almost no chance;better than even;very good chance;about even;little chance;chances are slight",259
"68",3,6,16,1,2,NA,7,9,12,14,4,11,8,10,5,13,15,"almost no chance;we doubt;unlikely;better than even;probably not;little chance;highly likely;probably;we believe;very good chance;probable;almost certainly;highly unlikely;improbable;about even;likely",25
"69",7,6,16,3,4,10,1,8,14,12,2,13,9,NA,5,11,15,"probably;likely;about even;very good chance;almost certainly;chances are slight;improbable;we believe;highly unlikely;better than even;little chance;highly likely;probable;we doubt;unlikely;probably not",58
"70",3,9,14,1,2,10,6,5,NA,12,4,13,11,15,8,7,16,"highly unlikely;chances are slight;likely;little chance;very good chance;highly likely;about even;we believe;unlikely;we doubt;almost certainly;better than even;probably;probable;almost no chance;improbable",74
"71",4,NA,12,3,2,8,5,10,13,14,1,11,6,16,7,9,15,"very good chance;highly unlikely;probably;almost no chance;little chance;improbable;better than even;almost certainly;probably not;highly likely;about even;chances are slight;likely;we doubt;unlikely;we believe",122
"72",7,5,14,1,3,9,2,8,15,11,4,12,10,16,6,NA,13,"very good chance;we believe;we doubt;highly likely;better than even;unlikely;chances are slight;likely;improbable;probable;probably;almost certainly;about even;almost no chance;highly unlikely;probably not",132
"73",5,NA,12,4,2,7,8,3,13,15,1,14,9,16,6,10,11,"probably not;almost no chance;we believe;about even;we doubt;better than even;little chance;probably;almost certainly;chances are slight;very good chance;improbable;highly unlikely;unlikely;likely;highly likely",134
"74",4,9,14,2,3,10,6,5,12,15,1,13,7,16,8,NA,11,"we believe;likely;chances are slight;almost certainly;very good chance;highly unlikely;about even;probably;better than even;unlikely;almost no chance;probably not;probable;we doubt;improbable;highly likely",140
"75",7,2,15,3,1,10,6,5,9,11,NA,12,8,16,4,14,13,"better than even;almost no chance;about even;unlikely;probably;probable;chances are slight;improbable;almost certainly;probably not;highly likely;we believe;we doubt;highly unlikely;little chance;likely",227
"76",5,4,15,NA,3,10,1,9,12,13,2,14,6,16,7,8,11,"probable;about even;we doubt;probably not;likely;chances are slight;improbable;little chance;probably;almost no chance;we believe;unlikely;better than even;very good chance;highly unlikely;highly likely",257
"77",5,7,13,1,NA,8,3,16,14,11,2,12,4,15,6,10,9,"probably not;likely;improbable;almost no chance;very good chance;little chance;probably;about even;we believe;probable;we doubt;almost certainly;chances are slight;highly unlikely;better than even;unlikely",261
"78",8,6,NA,3,2,10,4,5,14,15,1,12,9,16,7,11,13,"unlikely;almost certainly;chances are slight;almost no chance;very good chance;probably;we doubt;improbable;about even;likely;probably not;highly likely;probable;little chance;better than even;we believe",34
"79",2,6,14,3,1,10,4,7,13,11,NA,9,5,16,8,12,15,"highly likely;improbable;about even;better than even;likely;unlikely;almost no chance;probable;little chance;probably;highly unlikely;we doubt;we believe;almost certainly;probably not;chances are slight",47
"80",6,8,12,1,2,NA,3,5,11,9,4,15,14,16,7,10,13,"little chance;we doubt;likely;probable;highly unlikely;probably not;better than even;probably;improbable;about even;we believe;highly likely;unlikely;almost no chance;very good chance;almost certainly",54
"81",6,4,13,1,3,9,NA,7,15,8,2,12,10,16,5,14,11,"about even;highly likely;we believe;almost no chance;very good chance;we doubt;improbable;highly unlikely;almost certainly;unlikely;little chance;chances are slight;probably;likely;probable;probably not",78
"82",6,7,16,2,1,11,4,5,15,10,3,9,NA,13,8,12,14,"unlikely;improbable;we doubt;little chance;we believe;chances are slight;almost no chance;highly unlikely;probably not;almost certainly;probable;probably;likely;better than even;highly likely;very good chance",79
"83",4,5,15,1,2,9,10,7,12,14,3,13,16,NA,6,8,11,"improbable;we believe;chances are slight;highly unlikely;better than even;likely;little chance;highly likely;probably not;unlikely;probable;very good chance;we doubt;about even;almost certainly;probably",99
"84",7,9,15,2,3,11,4,6,14,13,1,12,5,NA,8,10,16,"better than even;probable;highly likely;very good chance;improbable;likely;about even;highly unlikely;little chance;we doubt;probably;almost certainly;chances are slight;unlikely;we believe;probably not",102
"85",4,1,14,2,NA,11,6,5,12,10,3,16,8,15,7,13,9,"we believe;better than even;we doubt;probably;almost no chance;highly unlikely;almost certainly;likely;chances are slight;improbable;about even;probably not;unlikely;probable;very good chance;little chance",111
"86",5,9,14,2,1,8,3,7,NA,16,4,13,10,15,6,12,11,"very good chance;likely;highly unlikely;highly likely;almost no chance;probably;we doubt;little chance;improbable;about even;chances are slight;unlikely;we believe;better than even;almost certainly;probable",160
"87",5,6,12,2,NA,10,3,1,14,15,4,13,8,16,7,9,11,"unlikely;improbable;almost certainly;we believe;we doubt;probably not;chances are slight;likely;about even;probably;better than even;almost no chance;very good chance;highly unlikely;little chance;probable",223
"88",8,6,14,1,7,10,3,5,11,12,2,13,NA,16,4,9,15,"highly unlikely;probably;very good chance;almost no chance;we believe;chances are slight;we doubt;likely;highly likely;improbable;probably not;probable;almost certainly;little chance;unlikely;better than even",55
"89",7,6,12,2,5,11,8,1,16,10,3,13,9,14,4,NA,15,"we doubt;chances are slight;improbable;about even;probable;almost certainly;highly unlikely;likely;better than even;very good chance;probably;almost no chance;we believe;probably not;unlikely;highly likely",61
"90",4,6,11,NA,3,13,7,1,9,14,2,10,8,16,5,12,15,"about even;little chance;unlikely;we believe;likely;better than even;probably not;probably;probable;highly likely;very good chance;we doubt;improbable;almost no chance;chances are slight;highly unlikely",65
"91",6,7,12,3,5,NA,1,4,14,11,2,16,10,15,8,9,13,"we doubt;highly likely;very good chance;probable;improbable;better than even;probably not;highly unlikely;about even;probably;almost certainly;unlikely;little chance;likely;almost no chance;we believe",108
"92",5,7,15,1,2,14,NA,6,11,10,3,9,8,16,4,13,12,"highly likely;about even;almost no chance;improbable;we doubt;very good chance;likely;chances are slight;highly unlikely;unlikely;probably not;probably;we believe;almost certainly;probable;little chance",119
"93",6,4,15,8,3,9,7,1,16,11,2,12,NA,13,5,10,14,"almost certainly;we doubt;unlikely;chances are slight;almost no chance;improbable;probable;probably;highly unlikely;highly likely;very good chance;likely;we believe;little chance;probably not;better than even",155
"94",7,5,12,2,4,NA,8,1,14,16,3,11,9,13,6,10,15,"almost no chance;almost certainly;unlikely;we believe;very good chance;probable;we doubt;highly unlikely;highly likely;probably;likely;probably not;about even;improbable;little chance;better than even",176
"95",5,2,13,NA,4,8,9,14,10,15,1,12,7,16,3,6,11,"little chance;highly unlikely;chances are slight;improbable;unlikely;probably not;we doubt;almost no chance;probable;highly likely;likely;better than even;we believe;about even;very good chance;probably",183
"96",3,6,14,9,2,11,7,5,13,12,1,16,8,15,4,NA,10,"better than even;about even;unlikely;chances are slight;very good chance;highly likely;almost no chance;highly unlikely;we believe;probable;almost certainly;probably not;improbable;probably;we doubt;likely",216
"97",NA,8,14,1,3,10,2,5,12,15,4,11,9,16,6,7,13,"highly likely;highly unlikely;unlikely;we doubt;almost certainly;about even;very good chance;better than even;probably;little chance;chances are slight;probable;almost no chance;we believe;probably not;improbable",239
"98",6,8,14,1,2,12,5,4,10,15,3,13,NA,16,7,11,9,"likely;almost certainly;probably not;we believe;chances are slight;very good chance;better than even;we doubt;probable;little chance;highly unlikely;unlikely;highly likely;improbable;almost no chance;probably",247
"99",3,6,14,1,2,13,5,9,8,10,4,11,NA,15,7,12,16,"very good chance;probably not;unlikely;highly unlikely;we believe;we doubt;improbable;likely;almost no chance;almost certainly;highly likely;little chance;chances are slight;better than even;probable;probably",249
"100",4,8,NA,1,2,15,6,5,13,12,3,11,9,16,7,14,10,"improbable;almost certainly;likely;unlikely;probably;probable;little chance;almost no chance;we doubt;very good chance;chances are slight;better than even;about even;highly likely;probably not;we believe",219
"101",5,8,15,3,2,13,1,6,16,NA,4,11,9,12,7,10,14,"we believe;probably;probably not;very good chance;highly unlikely;almost no chance;better than even;probable;improbable;almost certainly;unlikely;chances are slight;about even;highly likely;likely;little chance",2
"102",6,5,12,2,3,4,NA,8,13,9,1,11,10,16,7,14,15,"almost no chance;chances are slight;improbable;we believe;probable;likely;about even;highly likely;unlikely;probably not;very good chance;we doubt;probably;highly unlikely;almost certainly;little chance",21
"103",6,8,14,1,NA,12,4,3,9,10,2,13,5,15,7,11,16,"about even;almost certainly;improbable;we believe;chances are slight;little chance;highly unlikely;likely;very good chance;probably;we doubt;unlikely;almost no chance;probable;better than even;probably not",49
"104",5,6,15,7,1,12,8,4,9,16,2,10,11,14,3,13,NA,"probably;highly likely;highly unlikely;probably not;we believe;better than even;almost no chance;unlikely;almost certainly;probable;very good chance;likely;chances are slight;little chance;about even;we doubt",179
"105",8,5,12,1,2,14,4,7,11,13,3,10,NA,16,6,9,15,"probably;almost no chance;little chance;highly likely;probably not;highly unlikely;we believe;unlikely;almost certainly;very good chance;we doubt;improbable;chances are slight;likely;probable;better than even",253
"106",3,8,11,4,2,12,6,5,10,13,1,15,7,14,9,NA,16,"likely;we believe;highly likely;probable;almost no chance;highly unlikely;about even;probably not;better than even;very good chance;chances are slight;probably;improbable;we doubt;unlikely;almost certainly",13
"107",4,7,15,NA,2,14,1,5,13,10,3,9,8,16,6,11,12,"likely;probably;highly likely;probable;probably not;little chance;highly unlikely;improbable;very good chance;almost no chance;unlikely;better than even;we believe;we doubt;about even;chances are slight",26
"108",7,5,NA,3,2,9,6,1,11,14,8,10,12,16,4,13,15,"very good chance;almost certainly;little chance;we believe;likely;better than even;unlikely;chances are slight;probable;highly likely;improbable;we doubt;probably not;almost no chance;about even;probably",152
"109",6,7,13,NA,3,11,4,2,10,15,1,9,8,16,5,12,14,"we believe;very good chance;unlikely;highly unlikely;probable;we doubt;better than even;probably;chances are slight;likely;almost no chance;improbable;about even;highly likely;little chance;probably not",222
"110",6,3,13,1,5,9,2,7,14,15,NA,12,8,11,4,10,16,"highly unlikely;unlikely;almost no chance;about even;probably;likely;probably not;highly likely;improbable;we believe;little chance;better than even;chances are slight;we doubt;almost certainly;probable",3
"111",6,7,13,1,5,10,2,9,15,16,3,12,4,NA,8,11,14,"unlikely;improbable;very good chance;highly likely;about even;highly unlikely;likely;we doubt;we believe;little chance;chances are slight;probably;probably not;almost certainly;probable;better than even",130
"112",3,4,10,5,1,12,NA,7,14,15,2,16,8,13,6,11,9,"highly likely;probably not;we believe;about even;we doubt;probably;almost no chance;improbable;highly unlikely;almost certainly;unlikely;chances are slight;probable;little chance;very good chance;likely",221
"113",4,10,14,NA,2,7,3,5,11,12,1,13,16,15,6,8,9,"likely;little chance;chances are slight;highly likely;highly unlikely;improbable;we believe;we doubt;almost no chance;about even;probable;probably not;unlikely;very good chance;probably;better than even",89
"114",3,6,15,4,1,14,10,5,13,NA,7,8,9,12,2,11,16,"almost certainly;likely;probably;about even;unlikely;little chance;better than even;highly likely;almost no chance;we believe;probably not;highly unlikely;very good chance;chances are slight;improbable;probable",38
"115",8,6,14,2,NA,10,1,5,12,13,3,16,7,4,9,11,15,"almost no chance;probably not;we doubt;chances are slight;highly unlikely;probably;unlikely;likely;about even;very good chance;we believe;probable;almost certainly;little chance;improbable;better than even",173
"116",2,7,14,8,3,11,9,4,15,5,1,13,10,16,NA,12,6,"chances are slight;improbable;almost no chance;we believe;likely;about even;highly unlikely;almost certainly;very good chance;probably not;little chance;we doubt;better than even;unlikely;probable;highly likely",100
"117",4,7,15,NA,3,14,1,6,10,8,2,9,12,16,5,13,11,"we doubt;little chance;better than even;chances are slight;almost no chance;unlikely;probably;likely;highly likely;highly unlikely;probably not;very good chance;probable;improbable;about even;we believe",20
"118",6,11,NA,1,3,10,9,12,4,13,2,16,5,15,7,14,8,"probably not;about even;likely;improbable;chances are slight;highly likely;we doubt;almost no chance;unlikely;we believe;almost certainly;probable;better than even;very good chance;probably;little chance",120
"119",3,5,12,1,2,13,15,6,9,10,NA,11,7,16,4,14,8,"likely;probable;probably not;unlikely;highly unlikely;almost certainly;we believe;about even;improbable;we doubt;probably;almost no chance;better than even;chances are slight;highly likely;little chance",121
"120",4,5,13,12,3,14,7,1,16,8,2,10,9,NA,6,11,15,"we doubt;probable;about even;probably;we believe;highly likely;unlikely;likely;very good chance;highly unlikely;little chance;almost certainly;chances are slight;improbable;probably not;better than even",202
